Vector Sizes;quickSortIteractive(em segundos);quickSortRecursive(em segundos);quickSortRandom(em segundos);
15000;0,01;0,009;0,019;
25000;0,005;0,004;0,013;
35000;0,003;0,003;0,021;
45000;0,004;0,005;0,04;
55000;0,005;0,007;0,047;
65000;0,007;0,007;0,052;
75000;0,01;0,009;0,081;
85000;0,008;0,01;0,081;
95000;0,01;0,011;0,108;
105000;0,011;0,014;0,105;
115000;0,011;0,019;0,136;
125000;0,017;0,015;0,126;
135000;0,015;0,017;0,148;
145000;0,016;0,018;0,17;
155000;0,017;0,019;0,186;
165000;0,018;0,021;0,213;
175000;0,019;0,023;0,204;
185000;0,02;0,023;0,246;
195000;0,021;0,025;0,278;
205000;0,022;0,026;0,294;
215000;0,023;0,027;0,306;
225000;0,024;0,029;0,315;
235000;0,025;0,032;0,344;
245000;0,027;0,032;0,362;
255000;0,027;0,034;0,384;
265000;0,029;0,034;0,397;
275000;0,036;0,041;0,454;
285000;0,032;0,037;0,478;
295000;0,033;0,038;0,472;
305000;0,034;0,04;0,522;
315000;0,035;0,042;0,525;
325000;0,037;0,044;0,538;
335000;0,037;0,044;0,627;
345000;0,038;0,051;0,644;
355000;0,039;0,049;0,583;
365000;0,043;0,051;0,649;
375000;0,042;0,051;0,689;
385000;0,045;0,051;0,681;
395000;0,045;0,063;0,714;
405000;0,046;0,055;0,781;
415000;0,048;0,057;0,799;
425000;0,049;0,059;0,782;
435000;0,049;0,059;0,832;
445000;0,053;0,061;0,924;
455000;0,061;0,063;0,944;
465000;0,054;0,064;0,886;
475000;0,055;0,068;1,006;
485000;0,057;0,068;1,004;
495000;0,059;0,071;1,028;
505000;0,062;0,072;1,008;
515000;0,061;0,071;1,065;
525000;0,067;0,073;1,114;
535000;0,066;0,075;1,137;
545000;0,064;0,076;1,176;
555000;0,067;0,082;1,258;
565000;0,068;0,082;1,208;
575000;0,068;0,088;1,239;
585000;0,07;0,089;1,374;
595000;0,072;0,085;1,316;
605000;0,072;0,087;1,414;
615000;0,076;0,096;1,413;
625000;0,077;0,09;1,477;
635000;0,077;0,091;1,498;
645000;0,081;0,091;1,425;
655000;0,079;0,094;1,56;
665000;0,08;0,106;1,513;
675000;0,083;0,107;1,59;
685000;0,088;0,1;1,603;
695000;0,085;0,101;1,732;
705000;0,087;0,103;1,673;
715000;0,088;0,104;1,686;
725000;0,089;0,107;1,742;
735000;0,09;0,107;1,801;
745000;0,094;0,111;1,831;
755000;0,096;0,11;1,874;
765000;0,1;0,113;1,973;
775000;0,103;0,117;1,889;
785000;0,107;0,118;2,069;
795000;0,1;0,127;2,023;
805000;0,103;0,122;2,049;
815000;0,104;0,12;2,057;
825000;0,112;0,12;2,336;
835000;0,104;0,134;2,298;
845000;0,109;0,129;2,287;
855000;0,11;0,139;2,361;
865000;0,118;0,155;2,45;
875000;0,121;0,139;2,551;
885000;0,119;0,139;2,565;
895000;0,124;0,15;2,75;
905000;0,143;0,173;2,685;
915000;0,14;0,148;3,132;
925000;0,148;0,157;2,651;
935000;0,13;0,145;2,789;
945000;0,129;0,148;2,91;
955000;0,131;0,185;2,953;
965000;0,133;0,157;3,06;
975000;0,138;0,159;2,976;
985000;0,152;0,163;3,092;
995000;0,142;0,161;3,05;
1005000;0,149;0,161;3,073;
1015000;0,145;0,165;3,345;
1025000;0,15;0,173;3,113;
1035000;0,144;0,164;3,087;
1045000;0,197;0,239;3,445;
1055000;0,164;0,181;3,117;
1065000;0,148;0,173;3,334;
1075000;0,151;0,182;3,259;
1085000;0,158;0,178;3,495;
1095000;0,157;0,18;3,57;
1105000;0,162;0,254;3,8;
1115000;0,163;0,177;3,698;
1125000;0,159;0,183;3,786;
1135000;0,171;0,191;4,024;
1145000;0,185;0,21;4,323;
1155000;0,196;0,206;3,846;
1165000;0,184;0,19;3,693;
1175000;0,168;0,192;3,855;
1185000;0,179;0,201;3,847;
1195000;0,175;0,204;3,711;
1205000;0,173;0,202;3,79;
1215000;0,179;0,203;4,29;
1225000;0,177;0,202;4,057;
1235000;0,198;0,238;4,303;
1245000;0,21;0,219;4,035;
1255000;0,189;0,214;4,362;
1265000;0,183;0,214;4,393;
1275000;0,199;0,237;4,759;
1285000;0,198;0,223;4,209;
1295000;0,19;0,219;4,471;
1305000;0,23;0,22;4,405;
